facility_id,industry,product,process,machinery,scale,units_per_month,location_city,location_state,location_lat,location_lng,waste_streams,num_waste_types
FAC_00010,chemical,industrial_chemicals,distillation,distillation_column,small,266,Ahmedabad,Gujarat,23.02,72.57,"[{""type"": ""contaminated_solvents"", ""category"": ""chemical"", ""quantity_min_tons"": 0.01, ""quantity_max_tons"": 0.02, ""contamination_pct"": 39.7, ""quality_grade"": ""Grade C"", ""hazard_class"": ""Hazardous""}, {""type"": ""filter_waste"", ""category"": ""mixed"", ""quantity_min_tons"": 0.01, ""quantity_max_tons"": 0.01, ""contamination_pct"": 20.7, ""quality_grade"": ""Grade C"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""packaging_drums"", ""category"": ""metal"", ""quantity_min_tons"": 0.01, ""quantity_max_tons"": 0.01, ""contamination_pct"": 13.9, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Non-hazardous""}]",3
FAC_00011,electronics,circuit_boards,packaging,pick_place,small,267,Pune,Maharashtra,18.52,73.85,"[{""type"": ""pcb_scrap"", ""category"": ""electronic"", ""quantity_min_tons"": 0.01, ""quantity_max_tons"": 0.01, ""contamination_pct"": 6.6, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""solder_dross"", ""category"": ""metal"", ""quantity_min_tons"": 0.0, ""quantity_max_tons"": 0.01, ""contamination_pct"": 14.8, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""plastic_packaging"", ""category"": ""plastic"", ""quantity_min_tons"": 0.01, ""quantity_max_tons"": 0.01, ""contamination_pct"": 2.2, ""quality_grade"": ""Grade A"", ""hazard_class"": ""Non-hazardous""}]",3
FAC_00012,food_processing,frozen_goods,cooking,packaging_line,small,723,Chennai,Tamil Nadu,13.08,80.27,"[{""type"": ""packaging_plastic"", ""category"": ""plastic"", ""quantity_min_tons"": 0.04, ""quantity_max_tons"": 0.05, ""contamination_pct"": 11.7, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""packaging_cardboard"", ""category"": ""paper"", ""quantity_min_tons"": 0.05, ""quantity_max_tons"": 0.07, ""contamination_pct"": 6.7, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""wastewater"", ""category"": ""liquid"", ""quantity_min_tons"": 0.16, ""quantity_max_tons"": 0.23, ""contamination_pct"": 10.6, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Non-hazardous""}]",3
FAC_00013,textiles,home_textiles,sewing,heat_press,small,202,Jaipur,Rajasthan,26.91,75.79,"[{""type"": ""fabric_scraps"", ""category"": ""textile"", ""quantity_min_tons"": 0.02, ""quantity_max_tons"": 0.04, ""contamination_pct"": 4.8, ""quality_grade"": ""Grade A"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""thread_waste"", ""category"": ""textile"", ""quantity_min_tons"": 0.01, ""quantity_max_tons"": 0.01, ""contamination_pct"": 1.2, ""quality_grade"": ""Grade A"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""dye_wastewater"", ""category"": ""liquid"", ""quantity_min_tons"": 0.03, ""quantity_max_tons"": 0.05, ""contamination_pct"": 23.7, ""quality_grade"": ""Grade C"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""packaging_materials"", ""category"": ""mixed"", ""quantity_min_tons"": 0.01, ""quantity_max_tons"": 0.01, ""contamination_pct"": 14.9, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Non-hazardous""}]",4
FAC_00014,metalworking,structural_steel,cutting,drill_press,large,76504,Delhi,Delhi,28.61,77.21,"[{""type"": ""metal_shavings"", ""category"": ""metal"", ""quantity_min_tons"": 222.44, ""quantity_max_tons"": 311.91, ""contamination_pct"": 5.9, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""welding_slag"", ""category"": ""metal"", ""quantity_min_tons"": 55.06, ""quantity_max_tons"": 68.85, ""contamination_pct"": 14.6, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""cutting_coolant"", ""category"": ""chemical"", ""quantity_min_tons"": 25.01, ""quantity_max_tons"": 36.96, ""contamination_pct"": 19.0, ""quality_grade"": ""Grade C"", ""hazard_class"": ""Hazardous""}]",3
FAC_00015,electronics,connectors,packaging,wave_solder,large,15264,Ahmedabad,Gujarat,23.02,72.57,"[{""type"": ""solder_dross"", ""category"": ""metal"", ""quantity_min_tons"": 5.32, ""quantity_max_tons"": 7.14, ""contamination_pct"": 7.1, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""electronic_components"", ""category"": ""electronic"", ""quantity_min_tons"": 7.93, ""quantity_max_tons"": 11.45, ""contamination_pct"": 3.5, ""quality_grade"": ""Grade A"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""plastic_packaging"", ""category"": ""plastic"", ""quantity_min_tons"": 10.98, ""quantity_max_tons"": 12.88, ""contamination_pct"": 4.0, ""quality_grade"": ""Grade A"", ""hazard_class"": ""Non-hazardous""}]",3
FAC_00016,chemical,industrial_chemicals,filtration,distillation_column,small,543,Bengaluru,Karnataka,12.97,77.59,"[{""type"": ""chemical_residue"", ""category"": ""chemical"", ""quantity_min_tons"": 0.04, ""quantity_max_tons"": 0.05, ""contamination_pct"": 23.1, ""quality_grade"": ""Grade C"", ""hazard_class"": ""Hazardous""}, {""type"": ""contaminated_solvents"", ""category"": ""chemical"", ""quantity_min_tons"": 0.03, ""quantity_max_tons"": 0.03, ""contamination_pct"": 19.6, ""quality_grade"": ""Grade C"", ""hazard_class"": ""Hazardous""}, {""type"": ""filter_waste"", ""category"": ""mixed"", ""quantity_min_tons"": 0.02, ""quantity_max_tons"": 0.03, ""contamination_pct"": 21.0, ""quality_grade"": ""Grade C"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""packaging_drums"", ""category"": ""metal"", ""quantity_min_tons"": 0.01, ""quantity_max_tons"": 0.02, ""contamination_pct"": 6.3, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Non-hazardous""}]",4
FAC_00017,metalworking,metal_fixtures,welding,welder,medium,3312,Kolkata,West Bengal,22.57,88.36,"[{""type"": ""metal_shavings"", ""category"": ""metal"", ""quantity_min_tons"": 2.9, ""quantity_max_tons"": 3.39, ""contamination_pct"": 5.1, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""grinding_dust"", ""category"": ""metal"", ""quantity_min_tons"": 0.41, ""quantity_max_tons"": 0.55, ""contamination_pct"": 22.9, ""quality_grade"": ""Grade C"", ""hazard_class"": ""Non-hazardous""}]",2
FAC_00018,food_processing,frozen_goods,mixing,autoclave,large,41974,Mumbai,Maharashtra,19.08,72.88,"[{""type"": ""organic_waste"", ""category"": ""organic"", ""quantity_min_tons"": 87.49, ""quantity_max_tons"": 111.15, ""contamination_pct"": 5.7, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""packaging_plastic"", ""category"": ""plastic"", ""quantity_min_tons"": 42.68, ""quantity_max_tons"": 63.54, ""contamination_pct"": 4.8, ""quality_grade"": ""Grade A"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""packaging_cardboard"", ""category"": ""paper"", ""quantity_min_tons"": 55.8, ""quantity_max_tons"": 67.64, ""contamination_pct"": 3.9, ""quality_grade"": ""Grade A"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""wastewater"", ""category"": ""liquid"", ""quantity_min_tons"": 179.61, ""quantity_max_tons"": 258.09, ""contamination_pct"": 13.6, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Non-hazardous""}]",4
FAC_00019,food_processing,packaged_foods,freezing,autoclave,medium,1189,Delhi,Delhi,28.61,77.21,"[{""type"": ""organic_waste"", ""category"": ""organic"", ""quantity_min_tons"": 0.67, ""quantity_max_tons"": 0.91, ""contamination_pct"": 5.4, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""packaging_plastic"", ""category"": ""plastic"", ""quantity_min_tons"": 0.34, ""quantity_max_tons"": 0.39, ""contamination_pct"": 8.7, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""packaging_cardboard"", ""category"": ""paper"", ""quantity_min_tons"": 0.4, ""quantity_max_tons"": 0.54, ""contamination_pct"": 6.2, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Non-hazardous""}]",3
FAC_00020,automotive,body_panels,welding,welding_robot,large,16482,Mumbai,Maharashtra,19.08,72.88,"[{""type"": ""metal_scrap_steel"", ""category"": ""metal"", ""quantity_min_tons"": 46.44, ""quantity_max_tons"": 56.57, ""contamination_pct"": 1.3, ""quality_grade"": ""Grade A"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""metal_scrap_aluminum"", ""category"": ""metal"", ""quantity_min_tons"": 25.77, ""quantity_max_tons"": 29.63, ""contamination_pct"": 4.4, ""quality_grade"": ""Grade A"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""used_coolant"", ""category"": ""chemical"", ""quantity_min_tons"": 6.24, ""quantity_max_tons"": 8.05, ""contamination_pct"": 13.6, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Hazardous""}, {""type"": ""used_lubricant"", ""category"": ""chemical"", ""quantity_min_tons"": 2.84, ""quantity_max_tons"": 3.55, ""contamination_pct"": 22.0, ""quality_grade"": ""Grade C"", ""hazard_class"": ""Hazardous""}, {""type"": ""paint_sludge"", ""category"": ""chemical"", ""quantity_min_tons"": 9.59, ""quantity_max_tons"": 12.24, ""contamination_pct"": 22.8, ""quality_grade"": ""Grade C"", ""hazard_class"": ""Hazardous""}]",5
FAC_00021,automotive,transmissions,welding,press,medium,3824,Pune,Maharashtra,18.52,73.85,"[{""type"": ""used_coolant"", ""category"": ""chemical"", ""quantity_min_tons"": 0.36, ""quantity_max_tons"": 0.46, ""contamination_pct"": 11.6, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Hazardous""}, {""type"": ""used_lubricant"", ""category"": ""chemical"", ""quantity_min_tons"": 0.17, ""quantity_max_tons"": 0.19, ""contamination_pct"": 14.3, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Hazardous""}]",2
FAC_00022,electronics,circuit_boards,testing,aoi_machine,small,682,Mumbai,Maharashtra,19.08,72.88,"[{""type"": ""solder_dross"", ""category"": ""metal"", ""quantity_min_tons"": 0.01, ""quantity_max_tons"": 0.01, ""contamination_pct"": 12.2, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""electronic_components"", ""category"": ""electronic"", ""quantity_min_tons"": 0.02, ""quantity_max_tons"": 0.02, ""contamination_pct"": 4.1, ""quality_grade"": ""Grade A"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""plastic_packaging"", ""category"": ""plastic"", ""quantity_min_tons"": 0.03, ""quantity_max_tons"": 0.03, ""contamination_pct"": 4.4, ""quality_grade"": ""Grade A"", ""hazard_class"": ""Non-hazardous""}]",3
FAC_00023,electronics,circuit_boards,wave_soldering,wave_solder,small,890,Pune,Maharashtra,18.52,73.85,"[{""type"": ""solder_dross"", ""category"": ""metal"", ""quantity_min_tons"": 0.02, ""quantity_max_tons"": 0.02, ""contamination_pct"": 8.8, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""electronic_components"", ""category"": ""electronic"", ""quantity_min_tons"": 0.02, ""quantity_max_tons"": 0.03, ""contamination_pct"": 3.3, ""quality_grade"": ""Grade A"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""plastic_packaging"", ""category"": ""plastic"", ""quantity_min_tons"": 0.03, ""quantity_max_tons"": 0.04, ""contamination_pct"": 6.9, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Non-hazardous""}]",3
FAC_00024,electronics,connectors,wave_soldering,reflow_oven,medium,6875,Lucknow,Uttar Pradesh,26.85,80.95,"[{""type"": ""pcb_scrap"", ""category"": ""electronic"", ""quantity_min_tons"": 1.39, ""quantity_max_tons"": 2.07, ""contamination_pct"": 3.5, ""quality_grade"": ""Grade A"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""solder_dross"", ""category"": ""metal"", ""quantity_min_tons"": 0.62, ""quantity_max_tons"": 0.84, ""contamination_pct"": 14.7, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""electronic_components"", ""category"": ""electronic"", ""quantity_min_tons"": 1.0, ""quantity_max_tons"": 1.12, ""contamination_pct"": 3.0, ""quality_grade"": ""Grade A"", ""hazard_class"": ""Non-hazardous""}]",3
FAC_00025,automotive,engine_components,assembly,welding_robot,small,655,Hyderabad,Telangana,17.39,78.49,"[{""type"": ""metal_scrap_aluminum"", ""category"": ""metal"", ""quantity_min_tons"": 0.05, ""quantity_max_tons"": 0.06, ""contamination_pct"": 1.6, ""quality_grade"": ""Grade A"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""used_coolant"", ""category"": ""chemical"", ""quantity_min_tons"": 0.01, ""quantity_max_tons"": 0.02, ""contamination_pct"": 10.6, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Hazardous""}, {""type"": ""paint_sludge"", ""category"": ""chemical"", ""quantity_min_tons"": 0.02, ""quantity_max_tons"": 0.02, ""contamination_pct"": 25.2, ""quality_grade"": ""Grade C"", ""hazard_class"": ""Hazardous""}]",3
FAC_00026,textiles,garments,dyeing,dyeing_machine,large,82956,Delhi,Delhi,28.61,77.21,"[{""type"": ""thread_waste"", ""category"": ""textile"", ""quantity_min_tons"": 47.75, ""quantity_max_tons"": 62.77, ""contamination_pct"": 2.0, ""quality_grade"": ""Grade A"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""dye_wastewater"", ""category"": ""liquid"", ""quantity_min_tons"": 283.95, ""quantity_max_tons"": 368.42, ""contamination_pct"": 25.4, ""quality_grade"": ""Grade C"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""packaging_materials"", ""category"": ""mixed"", ""quantity_min_tons"": 74.89, ""quantity_max_tons"": 84.64, ""contamination_pct"": 7.6, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Non-hazardous""}]",3
FAC_00027,textiles,home_textiles,weaving,dyeing_machine,small,142,Ahmedabad,Gujarat,23.02,72.57,"[{""type"": ""thread_waste"", ""category"": ""textile"", ""quantity_min_tons"": 0.0, ""quantity_max_tons"": 0.01, ""contamination_pct"": 1.5, ""quality_grade"": ""Grade A"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""dye_wastewater"", ""category"": ""liquid"", ""quantity_min_tons"": 0.02, ""quantity_max_tons"": 0.03, ""contamination_pct"": 22.0, ""quality_grade"": ""Grade C"", ""hazard_class"": ""Non-hazardous""}]",2
FAC_00028,chemical,industrial_chemicals,reaction,filling_machine,large,79661,Chennai,Tamil Nadu,13.08,80.27,"[{""type"": ""chemical_residue"", ""category"": ""chemical"", ""quantity_min_tons"": 118.62, ""quantity_max_tons"": 160.3, ""contamination_pct"": 10.8, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Hazardous""}, {""type"": ""contaminated_solvents"", ""category"": ""chemical"", ""quantity_min_tons"": 93.56, ""quantity_max_tons"": 99.94, ""contamination_pct"": 15.0, ""quality_grade"": ""Grade C"", ""hazard_class"": ""Hazardous""}, {""type"": ""packaging_drums"", ""category"": ""metal"", ""quantity_min_tons"": 45.1, ""quantity_max_tons"": 57.57, ""contamination_pct"": 9.2, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Non-hazardous""}]",3
FAC_00029,metalworking,metal_fixtures,welding,welder,medium,8652,Mumbai,Maharashtra,19.08,72.88,"[{""type"": ""metal_shavings"", ""category"": ""metal"", ""quantity_min_tons"": 7.18, ""quantity_max_tons"": 8.3, ""contamination_pct"": 4.7, ""quality_grade"": ""Grade A"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""cutting_coolant"", ""category"": ""chemical"", ""quantity_min_tons"": 0.77, ""quantity_max_tons"": 1.04, ""contamination_pct"": 12.4, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Hazardous""}, {""type"": ""grinding_dust"", ""category"": ""metal"", ""quantity_min_tons"": 1.2, ""quantity_max_tons"": 1.52, ""contamination_pct"": 22.2, ""quality_grade"": ""Grade C"", ""hazard_class"": ""Non-hazardous""}]",3
FAC_00030,automotive,engine_components,stamping,press,large,22942,Delhi,Delhi,28.61,77.21,"[{""type"": ""metal_scrap_steel"", ""category"": ""metal"", ""quantity_min_tons"": 60.59, ""quantity_max_tons"": 77.9, ""contamination_pct"": 1.9, ""quality_grade"": ""Grade A"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""used_lubricant"", ""category"": ""chemical"", ""quantity_min_tons"": 4.51, ""quantity_max_tons"": 5.33, ""contamination_pct"": 16.1, ""quality_grade"": ""Grade C"", ""hazard_class"": ""Hazardous""}, {""type"": ""paint_sludge"", ""category"": ""chemical"", ""quantity_min_tons"": 11.27, ""quantity_max_tons"": 15.84, ""contamination_pct"": 22.8, ""quality_grade"": ""Grade C"", ""hazard_class"": ""Hazardous""}]",3
FAC_00031,automotive,electrical_systems,assembly,welding_robot,small,778,Chennai,Tamil Nadu,13.08,80.27,"[{""type"": ""metal_scrap_steel"", ""category"": ""metal"", ""quantity_min_tons"": 0.1, ""quantity_max_tons"": 0.12, ""contamination_pct"": 2.5, ""quality_grade"": ""Grade A"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""metal_scrap_aluminum"", ""category"": ""metal"", ""quantity_min_tons"": 0.05, ""quantity_max_tons"": 0.08, ""contamination_pct"": 4.0, ""quality_grade"": ""Grade A"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""used_coolant"", ""category"": ""chemical"", ""quantity_min_tons"": 0.01, ""quantity_max_tons"": 0.02, ""contamination_pct"": 10.8, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Hazardous""}, {""type"": ""used_lubricant"", ""category"": ""chemical"", ""quantity_min_tons"": 0.01, ""quantity_max_tons"": 0.01, ""contamination_pct"": 19.1, ""quality_grade"": ""Grade C"", ""hazard_class"": ""Hazardous""}, {""type"": ""paint_sludge"", ""category"": ""chemical"", ""quantity_min_tons"": 0.02, ""quantity_max_tons"": 0.03, ""contamination_pct"": 29.8, ""quality_grade"": ""Grade C"", ""hazard_class"": ""Hazardous""}]",5
FAC_00032,chemical,solvents,mixing,mixer,large,95710,Delhi,Delhi,28.61,77.21,"[{""type"": ""chemical_residue"", ""category"": ""chemical"", ""quantity_min_tons"": 140.38, ""quantity_max_tons"": 194.89, ""contamination_pct"": 14.4, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Hazardous""}, {""type"": ""contaminated_solvents"", ""category"": ""chemical"", ""quantity_min_tons"": 112.19, ""quantity_max_tons"": 143.98, ""contamination_pct"": 32.4, ""quality_grade"": ""Grade C"", ""hazard_class"": ""Hazardous""}, {""type"": ""filter_waste"", ""category"": ""mixed"", ""quantity_min_tons"": 69.24, ""quantity_max_tons"": 80.63, ""contamination_pct"": 31.2, ""quality_grade"": ""Grade C"", ""hazard_class"": ""Non-hazardous""}]",3
FAC_00033,textiles,garments,finishing,sewing_machine,medium,6239,Lucknow,Uttar Pradesh,26.85,80.95,"[{""type"": ""fabric_scraps"", ""category"": ""textile"", ""quantity_min_tons"": 4.61, ""quantity_max_tons"": 5.02, ""contamination_pct"": 4.7, ""quality_grade"": ""Grade A"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""thread_waste"", ""category"": ""textile"", ""quantity_min_tons"": 0.85, ""quantity_max_tons"": 1.2, ""contamination_pct"": 2.4, ""quality_grade"": ""Grade A"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""dye_wastewater"", ""category"": ""liquid"", ""quantity_min_tons"": 5.94, ""quantity_max_tons"": 7.9, ""contamination_pct"": 36.3, ""quality_grade"": ""Grade C"", ""hazard_class"": ""Non-hazardous""}]",3
